『你们中间若有缺少智慧的，应当求那厚赐与众人、也不斥责人的神，主就必赐给他』	（雅1：5）
『倘若自己禁止不住，就可以嫁娶。与其欲火攻心，倒不如嫁娶为妙』	（林前7：9）
『婚姻，人人都当尊重』	（来13：4）
『若有人爱神，这人乃是神所知道的』	（林前8：3）
『神实在恩待以色列那些清心的人』	（诗73：1）
『神能照著运行在我们心里的大力充充足足地成就一切，超过我们所求所想的』	（弗3：20）
『谁敬畏耶和华，耶和华必指示他当选择的道路』	（诗25：12）
『不要看自己过于所当看的』	（罗12：3）
『要凡事察验』	（帖前5：21）
『天天考查圣经，要晓得这道是与不是』	（徒17：11）
『教导的，未来的审判会更重』	（雅3：1）
『婚姻，人人都当尊重，床也不可污秽；因为苟合行淫的人，神必要审判』	（来13：4）
『不求自己的益处』	（林前13：5）
『你们作丈夫的也要按情理和妻子同住；因她比你软弱，、、、所以要敬重她』	（彼前3：7）
『不做害羞的事』	（林前13：5）
『对神有热心，但不是按照真知识』	（罗10：2）
『智慧之子总以智慧为是』	（太11：19）
『人若不知道管理自己的家，焉能照管　神的教会呢？』	（提前3：5）
『通达人见祸藏躲；愚蒙人前往受害』	（箴22：3）
『你要逃避少年的私欲，同那清心祷告主的人追求公义、信德、仁爱、和平』	（提后2：22）
『我的弟兄们，不要多人作师傅，因为晓得我们要受更重的判断』	（雅3：1）
『你们这假冒为善的文士和法利赛人有祸了！因为你们走遍洋海陆地，勾引一个人入教，既入了教，却使他作地狱之子，比你们还加倍』	（太23：15）
『凡预定得永生的人都信了』	（徒13：48）
『夫妻不再是两个人，乃是一体的了。所以，神配合的，人不可分开』	（太19：6）
『因现今的艰难，据我看来，人不如守素安常才好』	（林前7：26）
『那男人独居不好，我要造个配偶帮助他』	（创2：18）
『约沙法大有尊荣资财，就与亚哈结亲。』	（代下18：1）
『不叫我们遇见试探；救我们脱离凶恶』	（太6：13）
『不可给魔鬼留地步』	（弗4：27）
『立时流泪的喊著说：我信！但我信不足，求主帮助』	（可9：24）
『有生来是阉人，也有被人阉的，并有为天国的缘故自阉的』	（太19：12）
『没有出嫁的，是为主的事罣虑，要身体、灵魂都圣洁；已经出嫁的，是为世上的事罣虑，想怎样叫丈夫喜悦』	（林前7：34）
『	（耶和华）他未尝留下一样好处不给那些行动正直的人』	（诗84：11）
『焉知你得了王后的位分不是为现今的机会吗？』	（斯4：14）
『我们爱，因为神先爱我们』	（约壹4：19）
『人若休妻，妻离他而去，作了别人的妻，前夫岂能再收回她来？若收回她来，那地岂不是大大玷污了吗？』	（耶3：1）
『所以，神配合的，人不可分开』	（太19：6）
『撒门从喇合氏生波阿斯』	（太1：5）
『人若娶这被休的妇人，也是犯奸淫了』	（太5：32）
『因耶和华在你和你幼年所娶的妻中间作见证。她虽是你的配偶，又是你盟约的妻，你却以诡诈待她』	（玛2：14）
『不要消灭圣灵的感动』	（帖前5：19）
『主所爱的，他必管教，又鞭打凡所收纳的儿子』	（来12：6）
『耶稣说：这话不是人都能领受的，惟独赐给谁，谁才能领受』	（太19：10）
『独身是恩赐』	（林前7：7）
『丈夫活著的时候，妻子是被约束的；丈夫若死了，妻子就可以自由，随意再嫁』	（林前7：39）
『神配合的，人不可分开』	（太19：6）
『因耶和华在你和你幼年所娶的妻中间作见证。她虽是你的配偶，又是你盟约的妻』	（玛2：14）
『 她离弃幼年的配偶，忘了神的盟约』	（箴2：17）
『叫你不生育的是神，我岂能代替他作主呢？』	（创30：2）
『在主里孝顺父母』	（弗6：1）
『拿著七个金碗、盛满末后七灾的七位天使中，有一位来对我说：你到这里来，我要将新妇，就是羔羊的妻，指给你看。』	（启21：9）
『人子啊，你往以色列家那里去，将我的话对他们讲说。你奉差遣不是往那说话深奥、言语难懂的民那里去，乃是往以色列家去；、、、我若差你往他们那里去，他们必听从你。以色列家却不肯听从你』	（结3：4-7）
『神造人原是正直，但他们寻出许多巧计』	（传7：29）
『人若娶妻以后，见她有甚么不合理的事，不喜悦她，就可以写休书交在她手中，打发她离开夫家』	（申24：1）
『倘若那不信的人要离去，就由他离去吧！』	（林前7：15）
『一句话说得合宜，就如金苹果在银网子里』	（箴25：11）
『凡女人祷告或是讲道，若不蒙著头，就羞辱自己的头』	（林前11：5）
『凡女人祷告或是讲道』	（林前11：5）
『耶和华在你和你幼年所娶的妻中间作见证。她是你的配偶，又是你盟约的妻』	（玛2：14）
『雅各对拉班说：「日期已经满了，求你把我的妻子给我，我好与她同房。」拉班就摆设筵席，请齐了那地方的众人。』	（创29：2２）
『耶和华以色列的神说：休妻的事和以强暴待妻的人都是我所恨恶的！』	（玛2：16）
『若有人要跟从我，就当舍己，天天背起他的十字架来跟从我』	（路9：23）
『藐视我名的祭司啊，万军之耶和华对你们说：儿子尊敬父亲，仆人敬畏主人；我既为父亲，尊敬我的在哪里呢？我既为主人，敬畏我的在哪里呢？』	（玛1：6）
『这百姓亲近我，用嘴唇尊敬我，心却远离我；他们敬畏我，不过是领受人的吩咐』	（赛29：13）
『我愿意众人像我一样	（独身）；只是各人领受神的恩赐，一个是这样，一个是那样』	（林前7：7）
『忧伤痛悔的心，祂必不轻看』	（诗51：17）
『压伤的芦苇，祂不折断；将残的灯火，祂不吹灭』	（赛42：3）
『他	（圣灵）既来了，就要叫世人为罪、、、，自己责备自己』	（约16：8）
『若有人在基督里，他就是新造的人，旧事已过，都变成新的了』	（林后5：17）
『我们若认自己的罪，神是信实的，是公义的，必要赦免我们的罪，洗净我们一切的不义』	（约壹1：9）
『你们必晓得真理，真理必叫你们得以自由』	（约8：32）
『我妹子，我新妇，你夺了我的心。你用眼一看，用你项上的一条金链，夺了我的心』	（歌4：9）
『我的哪哒香膏发出香味』	（歌1：12）
『我妹子，我新妇，你的爱情何其美！你的爱情比酒更美！你膏油的香气胜过一切香品』	（歌4：10）
『我的两手滴下没药』	（歌5：5）
『你们这小信的人哪！野地里的草今天还在，明天就丢在炉里，神还给它这样的妆饰，何况你们呢』	（太6：30）
『妇女不可穿戴男子所穿戴的，男子也不可穿妇女的衣服，因为这样行都是耶和华你神所憎恶的』	（申22：5）
『人若爱我，就必遵守我的道；我父也必爱他，并且我们要到他那里去，与他同住』	（约14：23）
『有了我的命令又遵守的，这人就是爱我的；爱我的必蒙我父爱他，我也要爱他』	（约14：21）
『人若说我爱神，却恨他的弟兄，就是说谎话的；不爱他所看见的弟兄，怎能爱没有看见的神呢』	（约壹4：20）
『爱里没有惧怕；爱既完全，就把惧怕除去』	（约壹4：18）
『主啊！开恩可怜我这个罪人』的羊	（路18：13）
『父亲，我得罪了天，也得罪了你，从今以后，我不配称为你的儿子』的返家浪子	（路15：21）
『主为我们舍命，我们从此就知道何为爱』	（约壹3：16）
『我们的大祭司并非不能体恤我们的软弱。他也曾凡事受过试探，与我们一样，只是他没有犯罪』	（来4：15）
『与妻子连合，二人成为一体』	（创2：24）
『爱情如死之坚强，嫉恨如阴间之残忍；所发的电光是火焰的电光，是耶和华的烈焰』	（歌8：6）
『爱情，众水不能息灭，大水也不能淹没』	（歌8：7）
『若有人拿家中所有的财宝要换爱情，就全被藐视』	（歌8：7）
『才德的妇人谁能得著呢？她的价值远胜过珍珠』	（箴31：10）
『我的朋友们，请吃！我所亲爱的，请喝，且多多地喝』	（歌5：1）
『休妻的事和以强暴待妻的人都是我所恨恶的！所以当谨守你们的心，不可行诡诈。这是万军之耶和华说的』	（玛2：16）
『你有信心，就当在神面前守著。人在自己以为可行的事上能不自责，就有福了』	（罗14：22）
『我向你犯罪，惟独得罪了你；在你眼前行了这恶，以致你责备我的时候显为公义，判断我的时候显为清正』	（诗51：4）
『神啊，忧伤痛悔的心，你必不轻看』	（诗51：17）
『人若立志遵著他的旨意行，就必晓得这教训或是出于神，或是我凭著自己说的』	（约17：17）
『我从你旁边经过，看见你的时候正动爱情，、、、；又向你起誓，与你结盟，你就归于我。这是主耶和华说的。』	（结16：8）
『凡休妻另娶的，若不是为淫乱的缘故，就是犯奸淫了；有人娶那被休的妇人，也是犯奸淫了。』	（太19：9）
『若是离开了，不可再嫁，或是仍同丈夫和好』	（林前7：11）
『不可硬著心，像在旷野惹他发怒、试探他的时候一样』	（来3：8）
『第一要紧的，该知道经上所有的预言没有可随私意解说的』	（彼后1：20）
『信中有些难明白的，那无学问、不坚固的人强解，如强解别的经书一样，就自取沉沦』	（彼后3：16）
『你当竭力在神面前得蒙喜悦，、、、按著正意分解真理的道』	（提后2：15）
『亚拿尼亚听见这话，就仆倒，断了气；听见的人都甚惧怕』	（徒5：5）
『有了我的命令又遵守的，这人就是爱我的』	（约14：21）
『你们作丈夫的，要爱你们的妻子，正如基督爱教会，为教会舍己』	（弗5：21）
『不爱他所看见的弟兄，怎能爱没有看见的神呢？』	（约壹4：20）
『我故此没有违背那从天上来的异象』	（徒26：19）
『那美好的仗我已经打过了，当跑的路我已经跑尽了，所信的道我已经守住了』	（提后4：7）
『就对耶稣说：夫子，这妇人是正行淫之时被拿的。摩西在律法上吩咐我们把这样的妇人用石头打死。你说该把她怎么样呢？』	（约8：4-5）
『你们中间谁是没有罪的，谁就可以先拿石头打他』	（约8：7）
『又为你的儿子娶他们的女儿为妻，他们的女儿随从他们的神，就行邪淫，使你的儿子也随从他们的神行邪淫。』	（出34：16）
『娶他们的女儿为妻，将自己的女儿嫁给他们的儿子，并事奉他们的神。以色列人行耶和华眼中看为恶的事，忘记耶和华他们的神，去事奉诸巴力和亚舍拉，所以耶和华的怒气向以色列人发作』	（士3：6-8）
『有法利赛人来试探耶稣，说：人无论甚么缘故都可以休妻么？』	（太19：3）
『又有话说：人若休妻	（离婚），就当给她休书	（离婚证书）』	（太5：31）
『只是我告诉你们，凡休妻的，若不是为淫乱的缘故，就是叫她作淫妇了；人若娶这被休的妇人，也是犯奸淫了』	（太5：32）
『凡休妻另娶的就是犯奸淫；娶被休之妻的也是犯奸淫』	（路16：18）
『妓女喇合因著信，曾和和平平的接待探子，就不与那些不顺从的人一同灭亡』	（来11：31）
『妓女喇合接待使者，又放他们从别的路上出去，不也是一样因行为称义吗？』	（雅2：25）
『你有妻子缠著呢，就不要求脱离；你没有妻子缠著呢，就不要求妻子』	（林前7：27）
『你若娶妻，并不是犯罪；处女若出嫁，也不是犯罪。然而这等人肉身必受苦难，我却愿意你们免这苦难』	（林前7：28）
『要免淫乱的事，男子当各有自己的妻子；女子也当各有自己的丈夫』	（林前7：2）
『野地里的草今天还在，明天就丢在炉里，神还给它这样的妆饰，何况你们呢』	（太6：30）
『你们的光也当这样照在人前，叫他们看见你们的好行为』	（太5：16）
『我们要欢喜快乐，将荣耀归给他。因为，羔羊婚娶的时候到了，新妇也自己预备好了』	（启19：7）
『人在自己以为可行的事上能不自责，就有福了』	（罗14：22）
『若有疑心而吃的，就必有罪，因为他吃不是出于信心。凡不出于信心的都是罪』	（罗14：23）
『我们的心若责备我们，神比我们的心大，一切事没有不知道的』	（约壹3：20）
『我向你犯罪，唯独得罪了你』	（诗51：4）
『我怎能做这大恶，得罪神呢？』	（创39：9）
『你们看那天上的飞鸟，也不种，也不收，也不积蓄在仓里，你们的天父尚且养活牠。你们不比飞鸟贵重得多吗？』	（太6：26）
『你们这小信的人哪！野地里的草今天还在，明天就丢在炉里，神还给它这样的妆饰，何况你们呢？』	（太6：30）
『没有出嫁的，是为主的事罣虑，要身体、灵魂都圣洁；已经出嫁的，是为世上的事罣虑，想怎样叫丈夫喜悦。』	（林前7：34）
『故意犯罪的人，赎罪祭就没有了』	（来10：26）
『人若爱我，就必遵守我的道』	（约14：23）
『不爱我的人就不遵守我的道』	（约14：24）
『其中除了那灭亡之子，没有一个灭亡的，好叫经上的话得应验』	（约17：12）
『论到那些已经蒙了光照、尝过天恩的滋味、又于圣灵有分，并尝过神善道的滋味、觉悟来世权能的人，若是离弃道理，就不能叫他们从新懊悔了』	（来6：4-6）
『压伤的芦苇，他不折断；将残的灯火，他不吹灭』	（赛42：3）
『你们的罪虽像朱红，必变成雪白；虽红如丹颜，必白如羊毛』	（赛1：18）
『神所要的祭就是忧伤的灵；神啊，忧伤痛悔的心，你必不轻看』	（诗51：17）
『看哪！我造新天新地；从前的事不再被记念，也不再追想』	（赛65：17）
『绊倒人的有祸了』	（太17：8）
『神的名在外邦人中，因你们受了亵渎』	（罗2：20）
『只是我告诉你们：凡向弟兄动怒的，难免受审断；凡骂弟兄是拉加的，难免公会的审断；凡骂弟兄是魔利的，难免地狱的火』	（太5：22）
『因为凡遵守全律法的，只在一条上跌倒，他就是犯了众条。』	（雅2：10）
『还是你藐视他丰富的恩慈、宽容、忍耐，不晓得他的恩慈是领你悔改呢？你竟任著你刚硬不悔改的心，为自己积蓄忿怒，以致　神震怒，显他公义审判的日子来到。他必照各人的行为报应各人。凡恒心行善、寻求荣耀、尊贵和不能朽坏之福的，就以永生报应他们；惟有结党、不顺从真理、反顺从不义的，就以忿怒、恼恨报应他们。』	（罗2：4-8）
『狂傲人不能站在你眼前；凡作孽的，都是你所恨恶的』	（诗5：5）
『耶和华试验义人；惟有恶人和喜爱强暴的人，他心里恨恶』	（诗11：5）
『我信．但我信不足、求主帮助。』	（可９：２４）
『那将要来的是你么？还是我们等候别人呢？』	（路７：２０）
『你们从前怎样将肢体献给不洁不法作奴仆、以至于不法．现今也要照样将肢体献给义作奴仆、以至于成圣．』	（罗６：１９）
『恶人为何轻慢神，心里说，你必不追究』	（诗10：13）
『恶人面带骄傲，说：耶和华必不追究；他一切所想的都以为没有神』	（诗10：4）
『幸灾乐祸的，必不免受罚』	（箴17：5）
『所以，时候未到，甚么都不要论断，只等主来，他要照出暗中的隐情，显明人心的意念』	（林前4：5）
『一日，太阳平西，大卫从床上起来，在王宫的平顶上游行，看见一个妇人沐浴，容貌甚美』	（撒下11：2）
『罪既长成，就生出死来』	（雅1：15）
『我们在天上的父』	（太6：9）
『你们所受的，不是奴仆的心，仍旧害怕；所受的，乃是儿子的心，因此我们呼叫：阿爸！父！』	（罗8：15）
『你们既为儿子，神就差他儿子的灵进入你们	（原文作我们）的心，呼叫：阿爸！父！』	（加4：6）
『还是你藐视他丰富的恩慈、宽容、忍耐，不晓得他的恩慈是领你悔改呢？你竟任著你刚硬不悔改的心，为自己积蓄忿怒，以致　神震怒，显他公义审判的日子来到』	（罗2：4-5）
『主所应许的尚未成就，有人以为他是耽延，其实不是耽延，乃是宽容你们，不愿有一人沉沦，乃愿人人都悔改』	（彼后3：9）
『所以，应当回想你是从那里坠落的，并要悔改，行起初所行的事。你若不悔改，我就临到你那里，把你的灯台从原处挪去』	（启2：5）
『那税吏远远的站著，连举目望天也不敢，只捶著胸说：神啊，开恩可怜我这个罪人！』	（路18：13）
『我们的大祭司并非不能体恤我们的软弱。他也曾凡事受过试探，与我们一样，只是他没有犯罪。』	（来4：15）
『你们总要自己省察有信心没有，也要自己试验。岂不知你们若不是可弃绝的，就有耶稣基督在你们心里吗？』	（林后13：5）
『还有革利免，并其余和我一同做工的，他们的名字都在生命册上』	（腓4：3）
『我将这些话写给你们信奉神儿子之名的人，要叫你们知道自己有永生	（有得救）』	（约壹5：13）
『神将他的灵赐给我们，从此就知道我们是住在他里面，他也住在我们里面』	（约壹4：13）
『如果神的灵住在你们心里，你们就不属肉体，乃属圣灵了。人若没有基督的灵，就不是属基督的』	（罗8：9）
『岂不知你们的身子就是圣灵的殿吗？这圣灵是从神而来，住在你们里头的』	（林前6：19）
『培植我们的就是神，他又赐给我们圣灵作凭据』	（林后5：5）
『所以，你们因信基督耶稣都是神的儿子』	（加3：26）
『你们既为儿子，神就差他儿子的灵进入你们的心，呼叫：阿爸！父！可见，从此以后，你不是奴仆，乃是儿子了；既是儿子，就靠著神为后嗣』	（加4：6-7）
『你若口里认耶稣为主，心里信神叫他从死里复活，就必得救』	（罗10：9）
『如今，那些在基督耶稣里的就不定罪了』	（罗8：1-2）
『凡认耶稣为神儿子的，神就住在他里面，他也住在神里面』	（约壹4：15）
『并且你们若不是徒然相信，能以持守我所传给你们的，就必因这福音得救』	（林前15：2）
『我们若彼此相爱，神就住在我们里面』	（约壹4：12）
『我们若遵守他的诫命，就晓得是认识他』	（约壹2：3）
『我们因为爱弟兄，就晓得是已经出死入生了』	（约壹3：14）
『遵守神命令的，就住在神里面；神也住在他里面。我们所以知道神住在我们里面是因他所赐给我们的圣灵』	（约壹3：24）
『我、、、扪心自问；我心里也仔细省察。难道主要永远丢弃我，不再施恩吗？难道他的慈爱永远穷尽，他的应许世世废弃吗？难道神忘记开恩，因发怒就止住他的慈悲吗？』	（诗77：9）
『我将这些话写给你们信奉神儿子之名的人，要叫你们知道自己有永生』	（约壹5：13）
『信而受洗的，必然得救』	（可16：16）
『凡灵不认耶稣，就不是出于神；这是那敌基督者的灵』	（约壹4：3）
『他们从我们中间出去，却不是属我们的；若是属我们的，就必仍旧与我们同在；他们出去，显明都不是属我们的』	（约壹2：19）
『我与他们同在的时候，因你所赐给我的名保守了他们，我也护卫了他们；其中除了那灭亡之子，没有一个灭亡的，好叫经上的话得应验』	（约17：12）
『你们是重价买来的』	（林前6：20）
『世人都犯了罪，亏缺了神的荣耀』	（罗3：23）
『人若行那出于律法的义，就必因此活著』	（罗10：5）
『我们都像不洁净的人，所有的义都像污秽的衣服。我们都像叶子渐渐枯干，我们的罪孽好像风把我们吹去』	（赛64：6）
『你们还说：『主的道不公平！』』	（结18：25）
『你们当听，我的道岂不公平吗？你们的道岂不是不公平吗？』	（结18：25）
『十字架的道理，在那灭亡的人为愚拙；在我们得救的人，却为神的大能』	（林前1：18）
『世人凭自己的智慧，既不认识神，神就乐意用人所当作愚拙的道理，拯救那些信的人；这就是神的智慧』	（林前1：21）
『所以弟兄们，应当更加殷勤，使你们所蒙的恩召和拣选坚定不移。你们若行这几样，就永不失脚』	（彼后1：10）
『有了我的命令又遵守的，这人就是爱我的；爱我的必蒙我父爱他，我也要爱他，并且要向他显现』	（约14：21）
『耶稣说：我不是对你说过，你若信，就必看见神的荣耀吗？』	（约11：40）
『不要从我收回你的圣灵』	（诗51：11）
『凡没有律法犯了罪的，也必不按律法灭亡；凡在律法以下犯了罪的，也必按律法受审判』	（罗2：13）
『没有义人，连一个也没有』	（罗3：10）
『未识之神』	（徒１７：２３）
『你所赐给我与我同居的女人』	（创3：12）
『你无所不备，智慧充足，全然美丽』	（结28：12）
『你从受造之日所行的都完全，后来在你中间又察出不义』	（结28：15）
『你因美丽心中高傲，又因荣光败坏智慧』	（结28：17）
『因你心里高傲，说：我是神』	（结28：2）
『牠	（魔鬼）说谎是出于自己』	（约8：44）
『清心的人有福了！因为他们必得见神』	（太5：8）
『因此就定了那世代的罪，自己也承受了那从信而来的义』	（来11：7）
『各样美善的恩赐和各样全备的赏赐都是从上头来的，从众光之父那里降下来的』	（雅1：17）
『离了我，你们就不能做甚么』	（约15：5）
『我们都像不洁净的人；所有的义都像污秽的衣服』	（赛64：6）
『那税吏远远的站著，连举目望天也不敢，只捶著胸说：神啊，开恩可怜我这个罪人』	（太18：13）
『若有人在这预言上加添甚么，神必将写在这书上的灾祸加在他身上』	（启22：18）
『所求于管家的，是要他有忠心』	（林前4：2）
『这些事都是我们的鉴戒，叫我们不要贪恋恶事，像他们那样贪恋的』	（林前10：6）
『好，你这又良善又忠心的仆人，你在不多的事上有忠心，我要把许多事派你管理；可以进来享受你主人的快乐』	（太25：21）
『信他的人，不被定罪；不信的人，罪已经定了』	（约3：18）
『原来在神面前，不是听律法的为义，乃是行律法的称义』	（罗2：13）
『因为凡遵守全律法的，只在一条上跌倒，他就是犯了众条』	（雅2：10）
『因为律法本是叫人知罪』	（罗3：20）
『窑匠难道没有权柄从一团泥里拿一块做成贵重的器皿，又拿一块做成卑贱的器皿吗？』	（罗9：21）
『这样，你必对我说：他为甚么还指责人呢？有谁抗拒他的旨意呢？』	（罗9：19）
『你这个人哪，你是谁，竟敢向神强嘴呢？受造之物岂能对造他的说：你为甚么这样造我呢？』	（罗9：20）
『既是出于恩典，就不在乎行为；不然，恩典就不是恩典了』	（罗11：6）
『谁是先给了他，使他后来偿还呢？』	（罗11：35）
『但与我同去的提多，虽是希腊人，也没有勉强他受割礼』	（加2：3）
『向甚么人传福音，我就做甚么人』	（林前9：22）
『凡没有律法犯了罪的，也必不按律法灭亡；凡在律法以下犯了罪的，也必按律法受审判』	（罗2：12）
『人子来，为要寻找拯救失丧的人』	（路19：10）
『我奉差遣不过是到以色列家迷失的羊那里去』	（太15：24）
『我对你们所说的话就是灵，就是生命』	（约6：63）
『凡不义的事都是罪，也有不至于死的罪』	（约壹5：17）
『人未曾信他，怎能求他呢？未曾听见他，怎能信他呢？没有传道的，怎能听见呢？』	（罗10：14）
『因信称义』	（如：罗马书）
『因行为称义』	（如：雅各书）
『圣灵与我们的心，同证我们是上帝的儿女』	（罗8：16）
『信心没有行为，是死的』	（雅2：17）
『人若不重生，就不能见神的国』	（约3：3）
『人若不是从水和圣灵生的，就不能进神的国』	（约3：5）
『你们要完全，像你们的天父完全一样』	（太5：48）
『耶稣说我就是道路、真理、生命；若不藉著我，没有人能到父那里去』	（约14：6）
『大哉，敬虔的奥秘！无人不以为然：就是神在肉身显现，被圣灵称义，被天使看见，被传于外邦，被世人信服，被接在荣耀里』	（提前3：16）
『我也护卫了他们；其中除了那灭亡之子，没有一个灭亡的』	（约17：12）
『惟有那不知道的，做了当受责打的事，必少受责打；因为多给谁，就向谁多取；多托谁，就向谁多要』	（路12：48）
『使你与人不同的是谁呢？你有甚么不是领受的呢？若是领受的，为何自夸，仿佛不是领受的呢？』	（林前4：7）
『论到从起初原有的生命之道，就是我们所听见、所看见、亲眼看过、亲手摸过的』	（约壹1：1）
『这生命已经显现出来，我们也看见过，现在又作见证，将原与父同在、且显现与我们那永远的生命、传给你们。我们将所看见、所听见的传给你们，使你们与我们相交。我们乃是与父并他儿子耶稣基督相交的』	（约壹1：3）
『我们行事为人是凭著信心，不是凭著眼见』	（林后5：7）
『惟有大祭司一年一次独自进去，没有不带著血为自己和百姓的过错献上』	（来9：7）
『按著律法，凡物差不多都是用血洁净的；若不流血，罪就不得赦免了』	（来9：22）
『公牛和山羊的血，断不能除罪』	（来10：4）
『圣经把众人都圈在罪里，使所应许的福因信耶稣基督，归给那信的人』	（加3：22）
『律法是我们训蒙的师傅，引我们到基督那里，使我们因信称义』	（加3：24）
『你们的祖宗亚伯拉罕欢欢喜喜的仰望我的日子，既看见了就快乐』	（约8：56）
『这些人都是存著信心死的，并没有得著所应许的；却从远处望见，且欢喜迎接』	（来11：13）
『他作了新约的中保，既然受死赎了人在前约之时所犯的罪过，便叫蒙召之人得著所应许永远的产业』	（来9：15）
『因为主所爱的，他必管教，又鞭打凡所收纳的儿子』	（来12：6）
『还是你藐视他丰富的恩慈、宽容、忍耐，不晓得他的恩慈是领你悔改呢？』	（罗2：4）
『连举目望天也不敢，只捶著胸说：神啊，开恩可怜我这个罪人！』	（路18：13）
『不可奸淫』	（出20：14）
『凡向弟兄动怒的，难免受审断；凡骂弟兄是拉加的，难免公会的审断；凡骂弟兄是魔利的，难免地狱的火』	（太5：22）
『不可杀人』	（出20：13）
『不可偷盗』	（出20：15）
『在罪人中我是个罪魁』	（提前1：15）
『信心若没有行为就是死的』	（雅2：17）
『凡称呼我主啊，主啊的人不能都进天国；惟独遵行我天父旨意的人才能进去』	（太7：21）
『若是瞎子领瞎子，两个人都要掉在坑里』	（太15：14）
『主认识谁是他的人』	（提后2：19）
『他所赐给我的，叫我一个也不失落』	（约6：39）
『未曾听见他，怎能信他呢？没有传道的，怎能听见呢？』	（罗10：14）
『凡说话干犯人子的，还可得赦免；惟独亵渎圣灵的，总不得赦免』	（路12：10）
『在人面前不认我的，人子在神的使者面前也必不认他』	（路12：9）
『我实在告诉你，今夜鸡叫以先，你要三次不认我』	（太26：34）
『我为他们祈求，不为世人祈求，却为你所赐给我的人祈求』	（约17：9）
『扫罗！扫罗！你为什么逼迫我？、、、我就是你逼迫的耶稣』	（徒9：4-5）
『我从前是亵渎神的，逼迫人的，侮慢人的』	（提前1：13）
『这不法的人来，是照撒但的运动，行各样的异能、神迹，和一切虚假的奇事』	（帖后2：9）
『圣灵明说，在后来的时候，必有人离弃真道，听从那引诱人的邪灵和鬼魔的道理』	（提前4：1）
『亲爱的弟兄啊，一切的灵，你们不可都信，总要试验那些灵是出于神的不是』	（约一4：1）
『那将要来的	（弥赛亚）是你吗？还是我们等候别人呢？』	（路7：19）
『你们去，把所看见所听见的事告诉约翰，就是瞎子看见，瘸子行走，长大痲疯的洁净，聋子听见，死人复活，穷人有福音传给他们』	（路7：22）
『从创世以来，未曾听见有人把生来是瞎子的眼睛开了』	（约9：32）
『我将在神那里所听见的真理告诉了你们，现在你们却想要杀我，这不是亚伯拉罕所行的事』	（约8：40）
『有偷著引进来的假弟兄，私下窥探我们在基督耶稣里的自由，要叫我们作奴仆』	（加2：4）
『现在为甚么试探神，要把我们祖宗和我们所不能负的轭放在门徒的颈项上呢？』	（徒15：10）
『主的灵在那里，那里就得以自由』	（林后3：17）
『我们就是一刻的工夫也没有容让顺服他们，为要叫福音的真理仍存在你们中间』	（加2：5）
『无知的加拉太人哪，耶稣基督钉十字架，已经活画在你们眼前，谁又迷惑了你们呢？』	（加3：1）
『你们既靠圣灵入门，如今还靠肉身成全吗？你们是这样的无知吗？』	（加3：3）
『凡以行律法为本的，都是被咒诅的；因为经上记著：凡不常照律法书上所记一切之事去行的，就被咒诅』	（加3：11）
『没有一个人靠著律法在神面前称义』	（加3：11）
『基督既为我们受了咒诅，就赎出我们脱离律法的咒诅』	（加3：13）
『所应许的福因信耶稣基督，归给那信的人』	（加3：22）
『从此以后，你不是奴仆，乃是儿子了』	（加4：7）
『看你们学习的工夫，本该作师傅，谁知还得有人将神圣言小学的开端另教导你们，并且成了那必须吃奶，不能吃干粮的人』	（来5：12）
『惟独长大成人的才能吃干粮；他们的心窍习练得通达，就能分辨好歹了』	（来5：14）
『我再指著凡受割礼的人确实的说，他是欠著行全律法的债』	（加5：3）
『你们这要靠律法称义的，是与基督隔绝，从恩典中坠落了』	（加5：4）
『搅扰你们的，无论是谁，必担当他的罪名』	（加5：10）
『弟兄们，我若仍旧传割礼，为甚么还受逼迫呢？若是这样，那十字架讨厌的地方就没有了』	（加5：11）
『受割礼不受割礼都无关紧要，要紧的就是作新造的人』	（加6：15）
『有人信百物都可吃；但那软弱的，只吃蔬菜』	（罗14：2）
『这福音本是神的大能』	（罗1：16）
『义人若转离义行而作罪孽，照著恶人所行一切可憎的事而行，、、、他所行的一切义都不被记念』	（结18：24）
『我是耶和华，在我以外并没有别神；除了我以外再没有神』	（赛45：5）
『从来没有人看见神，只有在父怀里的独生子将他表明出来』	（约1：18）
『你不能看见我的面，因为人见我的面不能存活』	（出33：20）
『我们必要死，因为看见了神』	（士13：22）
『道成了肉身，住在我们中间，充充满满的有恩典有真理。我们也见过他的荣光，正是父独生子的荣光』	（约1：14）
『耶稣说我就是道路、真理、生命。若不藉著我，没有人能到父那里去』	（约14：6）
『你们若不信我是基督，必要死在罪中』	（约8：24）
『你们死在过犯罪恶之中，他叫你们活过来』	（弗2：1）
『当我们死在过犯中的时候，便叫我们与基督一同活过来』	（弗2：5）
『神爱世人，甚至将他的独生子赐给他们，叫一切信他的，不至灭亡，反得永生』	（约3：16）
『信他的人，不被定罪；不信的人，罪已经定了，因为他不信神独生子的名』	（约3：18）
『信子的人有永生；不信子的人得不著永生』	（约3：36）
『信而受洗的，必然得救；不信的，必被定罪』	（可16：16）
『人心里相信，就可以称义；口里承认，就可以得救』	（罗10：10）
『绊倒人的事是免不了的，但那绊倒人的有祸了』	（太18：7）
『你们这瞎眼领路的有祸了』	（太23：16）
『我传福音原没有可夸的，因为我是不得已的。若不传福音，我便有祸了。』	（林前9：16）
